--- Cầu thủ mới được thêm vào ngày 16/12/2025 ---
  - ID: 5bc43860, Tên: Brenden Aaronson
  - ID: c103921a, Tên: Zach Abbott
  - ID: b7e62e1d, Tên: Joshua Acheampong
  - ID: 2b09d998, Tên: Tyler Adams
  - ID: c81d773d, Tên: Tosin Adarabioyo
  - ID: 4dcec659, Tên: Simon Adingra
  - ID: dcfb17f4, Tên: Amine Adli
  - ID: 75f1ed80, Tên: Emmanuel Agbadou
  - ID: 288e1e13, Tên: Nayef Aguerd
  - ID: 246d153b, Tên: Ola Aina
  - ID: 9b398aea, Tên: Rayan Aït-Nouri
  - ID: a8c0acb7, Tên: Kristoffer Ajer
  - ID: eaeca114, Tên: Nathan Aké
  - ID: 4abac767, Tên: Carlos Alcaraz
  - ID: bb08bce9, Tên: Omar Alderete
  - ID: 7a2e46a8, Tên: Alisson
  - ID: 10b9fa99, Tên: Ethan Ampadu
  - ID: e34fc66d, Tên: Joachim Andersen
  - ID: de31038e, Tên: Elliot Anderson
  - ID: ec604e2c, Tên: André
  - ID: e4238fb1, Tên: Jaidon Anthony
  - ID: 2f965a72, Tên: Alphonse Areola
  - ID: 86d96066, Tên: Jhon Arias
  - ID: de59e609, Tên: Harrison Armstrong
  - ID: a42760bc, Tên: Tolu Arokodare
  - ID: e5478b87, Tên: Taiwo Awoniyi
  - ID: f173303a, Tên: Yasin Ayari
  - ID: 06df8256, Tên: Benoît Badiashile
  - ID: 2b5a35e5, Tên: Dilane Bakwa
  - ID: a1390d2f, Tên: Carlos Baleba
  - ID: 38f300f3, Tên: Daniel Ballard
  - ID: 3a24769f, Tên: Ross Barkley
  - ID: 2691c772, Tên: Ashley Barnes
  - ID: 3ea50f67, Tên: Harvey Barnes
  - ID: 52c3244b, Tên: Thierno Barry
  - ID: a36524bf, Tên: Calvin Bassey
  - ID: 072e68ed, Tên: Altay Bayındır
  - ID: 10f0fdd3, Tên: Jean-Ricner Bellegarde
  - ID: 3b8674e6, Tên: Rodrigo Bentancur
  - ID: d0b6129f, Tên: Sander Berge
  - ID: a109e5c8, Tên: Lucas Bergvall
  - ID: ed5c0319, Tên: Beto
  - ID: 6fdac234, Tên: Jaka Bijol
  - ID: 3d214e5f, Tên: Marco Bizot
  - ID: eed2427e, Tên: Oscar Bobb
  - ID: bca5c4a7, Tên: Lamare Bogarde
  - ID: ae5019e6, Tên: Jayden Bogle
  - ID: 01834aa0, Tên: Sebastiaan Bornauw
  - ID: 403f5d20, Tên: Olivier Boscagli
  - ID: ccce7025, Tên: Sven Botman
  - ID: 79c84d1c, Tên: Jarrod Bowen
  - ID: bbd67769, Tên: Conor Bradley
  - ID: 4c184730, Tên: Brian Brobbey
  - ID: 97220da2, Tên: Armando Broja
  - ID: dc4cae05, Tên: David Brooks
  - ID: 4e204552, Tên: Jacob Bruun Larsen
  - ID: 66b76d44, Tên: Emi Buendía
  - ID: bfc3b3a0, Tên: Hugo Bueno
  - ID: edc98fac, Tên: Santiago Bueno
  - ID: 468a7a91, Tên: Facundo Buonanotte
  - ID: b2d31e83, Tên: Dan Burn
  - ID: 802ee5ca, Tên: Bradley Burrowes
  - ID: 1bf811d4, Tên: Sam Byram
  - ID: 16264a81, Tên: Moisés Caicedo
  - ID: a8748947, Tên: Tom Cairney
  - ID: aded8e6f, Tên: Riccardo Calafiori
  - ID: 59e6e5bf, Tên: Dominic Calvert-Lewin
  - ID: 3684108d, Tên: Jaydee Canvot
  - ID: 966e28d0, Tên: Fabio Carvalho
  - ID: 4d224fe8, Tên: Casemiro
  - ID: 2389cdc2, Tên: Matty Cash
  - ID: 197640fd, Tên: Timothy Castagne
  - ID: 5515376c, Tên: Trevoh Chalobah
  - ID: b34c63a5, Tên: Rayan Cherki
  - ID: b0f7e36c, Tên: Federico Chiesa
  - ID: 34721c11, Tên: Tawanda Chirewa
  - ID: 26ce2263, Tên: Ryan Christie
  - ID: b8a642fc, Tên: Samuel Chukwueze
  - ID: 0442183b, Tên: Nathaniel Clyne
  - ID: 0420d84f, Tên: Séamus Coleman
  - ID: a8c19eb8, Tên: Nathan Collins
  - ID: 2afc7272, Tên: Lewis Cook
  - ID: 22ae86f9, Tên: Diego Coppola
  - ID: 1daec722, Tên: Marc Cucurella
  - ID: 0abc51f2, Tên: Jorge Cuenca
  - ID: f6d7d690, Tên: Josh Cullen
  - ID: ac31d35e, Tên: Jair Cunha
  - ID: dc62b55d, Tên: Matheus Cunha
  - ID: d9565625, Tên: Diogo Dalot
  - ID: 215f3907, Tên: Mikkel Damsgaard
  - ID: 6e33125f, Tên: Kevin Danso
  - ID: cde3309f, Tên: Karl Darlow
  - ID: 44781702, Tên: Ben Davies
  - ID: d494882e, Tên: Maxim De Cuyper
  - ID: dd897ee7, Tên: Liam Delap
  - ID: 7bf9400b, Tên: Sepp van den Berg
  - ID: 6c2b66fc, Tên: Justin Devenny
  - ID: 5c74c0f5, Tên: Kiernan Dewsbury-Hall
  - ID: 1bfb6fef, Tên: Bafodé Diakité
  - ID: 9dc96f10, Tên: Amad Diallo
  - ID: 6d0fe035, Tên: Habib Diarra
  - ID: 31c69ef1, Tên: Rúben Dias
  - ID: bdcc89ae, Tên: Tyler Dibling
  - ID: 1b84dbe1, Tên: Lucas Digne
  - ID: a712ca2b, Tên: Issa Diop
  - ID: bd5eb2e5, Tên: El Hadji Malick Diouf
  - ID: d557d734, Tên: Matt Doherty
  - ID: fffea3e5, Tên: Jeremy Doku
  - ID: 20b3a502, Tên: Nicolás Domínguez
  - ID: 08f5afaa, Tên: Gianluigi Donnarumma
  - ID: e6536124, Tên: Patrick Dorgu
  - ID: 9008bb70, Tên: Max Dowman
  - ID: 3a949a25, Tên: Martin Dúbravka
  - ID: 282f75f3, Tên: Lewis Dunk
  - ID: 0562b7f1, Tên: Odsonne Édouard
  - ID: 57760e66, Tên: Marcus Edwards
  - ID: 3d554589, Tên: Hjalmar Ekdal
  - ID: 5b92d896, Tên: Hugo Ekitike
  - ID: 2fba6108, Tên: Anthony Elanga
  - ID: b9e1436c, Tên: Harvey Elliott
  - ID: c149016b, Tên: Wataru Endo
  - ID: 87189f25, Tên: Romain Esse
  - ID: 1a066e69, Tên: Maxime Estève
  - ID: 6f3cc2fe, Tên: Evanilson
  - ID: ae4fc6a4, Tên: Eberechi Eze
  - ID: 507c7bdf, Tên: Bruno Fernandes
  - ID: ef491564, Tên: Mateus Fernandes
  - ID: 5ff4ab71, Tên: Enzo Fernández
  - ID: b3f36e72, Tên: Zian Flemming
  - ID: ed1e53f3, Tên: Phil Foden
  - ID: 132a82f1, Tên: Wesley Fofana
  - ID: f84a807c, Tên: Lyle Foster
  - ID: 74f2e748, Tên: Jeremie Frimpong
  - ID: 4f16405e, Tên: Niclas Füllkrug
  - ID: 1971591f, Tên: Cody Gakpo
  - ID: 72c812f3, Tên: Idrissa Gana Gueye
  - ID: 733f1a7d, Tên: Ben Gannon-Doak
  - ID: 7aa8adfe, Tên: Alejandro Garnacho
  - ID: 4e015693, Tên: James Garner
  - ID: 242e1043, Tên: Lutsharel Geertruida
  - ID: e6f7797e, Tên: Tyrique George
  - ID: 32f60ed8, Tên: Morgan Gibbs-White
  - ID: 10745192, Tên: Jamie Gittens
  - ID: 75fdd638, Tên: Wilfried Gnonto
  - ID: 8b57ad2c, Tên: João Gomes
  - ID: 8dcf77c0, Tên: Rodrigo Gomes
  - ID: f0caab96, Tên: Toti Gomes
  - ID: 916728da, Tên: Diego Gómez
  - ID: 7a11550b, Tên: Joe Gomez
  - ID: 2c56a792, Tên: Nicolás González
  - ID: 2bd83368, Tên: Anthony Gordon
